9.5287 -3.9187 -11.1554 10.5779 10.1056 -17.0315 -14.7193 21.1140 -8.4213
2.7786 -0.4623 -3.6171 4.0055 1.7841 -5.0940 -5.6466 4.0769 -3.9059
11.5627 -5.9220 -11.8242 13.6895 11.4667 -20.6922 -17.9409 26.3837 -6.1657
6.7439 -5.0703 -8.7866 20.6210 9.2916 -26.7431 -23.3565 38.8437 -3.7356
15.4627 -3.9772 -14.5837 8.0522 12.7478 -17.4619 -13.1700 16.5734 -9.7305
6.6617 -2.7299 -6.8900 6.6265 5.4978 -10.3996 -9.2424 10.1888 -3.4086
5.3081 -4.1371 -7.5877 4.5954 5.9966 -7.2275 -6.5739 10.3669 -6.6116
2.4009 -1.7927 -2.0932 12.3657 -0.0855 -12.8773 -12.3195 15.7190 0.6023
9.9316 -4.8718 -12.0856 13.5844 11.9732 -21.1460 -18.1479 28.3208 -8.2820
4.7163 -2.7420 -3.6330 14.2793 2.3378 -15.6302 -14.7339 20.3342 -0.6941
13.9710 -5.8018 -15.6746 10.2787 15.8146 -20.3209 -16.6617 25.0221 -10.6578
7.1974 -1.8045 -5.5785 5.7460 3.4028 -8.1444 -7.5520 5.8964 -3.3086
11.5401 -7.6902 -13.1131 16.1816 14.0473 -23.6492 -19.8699 36.3338 -8.7618
13.7908 -5.9368 -14.1114 8.8284 12.7552 -16.6476 -14.1952 18.2792 -8.9757
2.9802 -0.6942 -2.9070 4.5950 1.2039 -5.7476 -5.9089 4.2416 -1.5486
4.1009 -1.1433 -4.5152 8.9346 3.4716 -11.3893 -10.5129 13.7692 -3.5167
10.7605 -7.8995 -11.2875 12.9866 11.0068 -18.1081 -15.8510 26.9007 -6.4623
5.8537 -3.6114 -8.4151 13.6875 7.5313 -18.5524 -16.6405 25.5016 -5.8795
